,person.type,person.value,religion.xml:lang,religion.type,religion.value,personLabel.xml:lang,personLabel.type,personLabel.value
206,uri,http://www.wikidata.org/entity/Q5499578,,,,en,literal,Fredson Bowers
207,uri,http://www.wikidata.org/entity/Q5522901,,,,en,literal,Gareth B. Matthews
208,uri,http://www.wikidata.org/entity/Q5525525,,,,en,literal,Gary Marks
209,uri,http://www.wikidata.org/entity/Q5531151,,,,en,literal,Gene D. Block
210,uri,http://www.wikidata.org/entity/Q5539466,,,,en,literal,George Frederick Holmes
211,uri,http://www.wikidata.org/entity/Q5539634,,,,en,literal,George Garrett
212,uri,http://www.wikidata.org/entity/Q5542439,,,,en,literal,George Michael
213,uri,http://www.wikidata.org/entity/Q5606923,,,,en,literal,Gregory G. Colomb
214,uri,http://www.wikidata.org/entity/Q5628518,,,,en,literal,H. Richard Winn
215,uri,http://www.wikidata.org/entity/Q5672014,,,,en,literal,Harry Rogers Pratt
216,uri,http://www.wikidata.org/entity/Q5701011,,,,en,literal,M.R. Ghanoonparvar
217,uri,http://www.wikidata.org/entity/Q5721808,,,,en,literal,Henry Garrett
218,uri,http://www.wikidata.org/entity/Q5992405,,,,en,literal,Ignacio Provencio
219,uri,http://www.wikidata.org/entity/Q6074600,,,,en,literal,Irving Gottesman
220,uri,http://www.wikidata.org/entity/Q6105354,,,,en,literal,J. David Sapir
221,uri,http://www.wikidata.org/entity/Q6131299,,,,en,literal,James Childress
222,uri,http://www.wikidata.org/entity/Q6132422,,,,en,literal,James Davison Hunter
223,uri,http://www.wikidata.org/entity/Q6135647,,,,en,literal,James Harry Michael Jr.
224,uri,http://www.wikidata.org/entity/Q6143406,,,,en,literal,James Southall Wilson
225,uri,http://www.wikidata.org/entity/Q6143581,,,,en,literal,James Sterling Young
226,uri,http://www.wikidata.org/entity/Q6154557,,,,en,literal,Janine Jagger
227,uri,http://www.wikidata.org/entity/Q6170610,,,,en,literal,Jean Edward Smith
228,uri,http://www.wikidata.org/entity/Q6172460,,,,en,literal,Jeb Livingood
229,uri,http://www.wikidata.org/entity/Q6176088,,,,en,literal,Jeffrey K. Olick
230,uri,http://www.wikidata.org/entity/Q6176191,,,,en,literal,Jeffrey O'Connell
231,uri,http://www.wikidata.org/entity/Q6182840,,,,en,literal,Jerome McGann
232,uri,http://www.wikidata.org/entity/Q6196309,,,,en,literal,Jim Lark
233,uri,http://www.wikidata.org/entity/Q6208090,,,,en,literal,Jody Kraus
234,uri,http://www.wikidata.org/entity/Q6216361,,,,en,literal,Johanna Drucker
235,uri,http://www.wikidata.org/entity/Q6220050,,,,en,literal,John B. Minor
236,uri,http://www.wikidata.org/entity/Q6222461,,,,en,literal,John Bonvillian
237,uri,http://www.wikidata.org/entity/Q6224880,,,,en,literal,John Calvin Jeffries
238,uri,http://www.wikidata.org/entity/Q6227181,,,,en,literal,John Corrigan
239,uri,http://www.wikidata.org/entity/Q6245060,,,,en,literal,John Lloyd Newcomb
240,uri,http://www.wikidata.org/entity/Q6246525,,,,en,literal,John Mallet
241,uri,http://www.wikidata.org/entity/Q6259942,,,,en,literal,John T. Casteen III
242,uri,http://www.wikidata.org/entity/Q6260309,,,,en,literal,John Tayloe Lomax
243,uri,http://www.wikidata.org/entity/Q6281898,,,,en,literal,Joseph C. Miller
244,uri,http://www.wikidata.org/entity/Q6286311,,,,en,literal,Joseph Poon
245,uri,http://www.wikidata.org/entity/Q6304491,,,,en,literal,Judy Jordan
246,uri,http://www.wikidata.org/entity/Q6306998,,,,en,literal,Julian Bond
247,uri,http://www.wikidata.org/entity/Q6390311,,,,en,literal,Kenneth Kellermann
248,uri,http://www.wikidata.org/entity/Q6390619,,,,en,literal,Kenneth R. Mladenka
249,uri,http://www.wikidata.org/entity/Q6390790,,,,en,literal,Kenneth W. Thompson
250,uri,http://www.wikidata.org/entity/Q6396581,,,,en,literal,Kevin J. Sullivan
251,uri,http://www.wikidata.org/entity/Q6396642,,,,en,literal,Kevin K. Lehmann
252,uri,http://www.wikidata.org/entity/Q6437338,,,,en,literal,Krishan Kumar
253,uri,http://www.wikidata.org/entity/Q6456665,,,,en,literal,L. Tucker Jones
254,uri,http://www.wikidata.org/entity/Q6490695,,,,en,literal,Larry Leon Palmer
255,uri,http://www.wikidata.org/entity/Q6491061,,,,en,literal,Larry Sabato
256,uri,http://www.wikidata.org/entity/Q6520710,,,,en,literal,Leland B. Yeager
257,uri,http://www.wikidata.org/entity/Q6523655,,,,en,literal,Leo Damrosch
258,uri,http://www.wikidata.org/entity/Q6548081,,,,en,literal,Lillian BeVier
259,uri,http://www.wikidata.org/entity/Q6558381,,,,en,literal,Lisa Russ Spaar
260,uri,http://www.wikidata.org/entity/Q6680396,,,,en,literal,Loren Lomasky
261,uri,http://www.wikidata.org/entity/Q6757078,,,,en,literal,Marcia A. Invernizzi
262,uri,http://www.wikidata.org/entity/Q6773495,,,,en,literal,Marshall Brement
263,uri,http://www.wikidata.org/entity/Q6780075,,,,en,literal,Mary Lee Settle
264,uri,http://www.wikidata.org/entity/Q6790361,,,,en,literal,Matthew Crawford
265,uri,http://www.wikidata.org/entity/Q6790687,,,,en,literal,Matthew Holden
266,uri,http://www.wikidata.org/entity/Q6790716,,,,en,literal,Matthew J. Bruccoli
267,uri,http://www.wikidata.org/entity/Q6793373,,,,en,literal,Maurice Nelles
268,uri,http://www.wikidata.org/entity/Q6796702,,,,en,literal,Maya Jasanoff
269,uri,http://www.wikidata.org/entity/Q6814140,,,,en,literal,Melvyn P. Leffler
270,uri,http://www.wikidata.org/entity/Q6818945,,,,en,literal,Meredith Jung-En Woo
271,uri,http://www.wikidata.org/entity/Q6819719,,,,en,literal,Merle Sande
272,uri,http://www.wikidata.org/entity/Q6834055,,,,en,literal,Michael Ryan
273,uri,http://www.wikidata.org/entity/Q6891197,,,,en,literal,Mohamed Gad-el-Hak
274,uri,http://www.wikidata.org/entity/Q6969005,,,,en,literal,Nathan Currier
275,uri,http://www.wikidata.org/entity/Q7141816,,,,en,literal,Pasco Bowman II
276,uri,http://www.wikidata.org/entity/Q7151427,,,,en,literal,Paul Humphreys
277,uri,http://www.wikidata.org/entity/Q7152166,,,,en,literal,Paul Mahoney
278,uri,http://www.wikidata.org/entity/Q7152688,,,,en,literal,Paul Neebe
279,uri,http://www.wikidata.org/entity/Q7153052,,,,en,literal,Paul R. Gross
280,uri,http://www.wikidata.org/entity/Q7176206,,,,en,literal,Peter Ochs
281,uri,http://www.wikidata.org/entity/Q7183255,,,,en,literal,Philip Bourne
282,uri,http://www.wikidata.org/entity/Q7273968,,,,en,literal,R. S. Khare
283,uri,http://www.wikidata.org/entity/Q7291594,,,,en,literal,Randall Ray Rader
284,uri,http://www.wikidata.org/entity/Q7323619,,,,en,literal,Richard Abidin
285,uri,http://www.wikidata.org/entity/Q7341943,,,,en,literal,Robert Bausch
286,uri,http://www.wikidata.org/entity/Q7342032,,,,en,literal,Robert Bennett Bean
287,uri,http://www.wikidata.org/entity/Q7342467,,,,en,literal,Robert Bruner
288,uri,http://www.wikidata.org/entity/Q7343756,,,,en,literal,Robert E. Davis
289,uri,http://www.wikidata.org/entity/Q7344085,,,,en,literal,Robert Empie Rogers
290,uri,http://www.wikidata.org/entity/Q7344600,,,,en,literal,Robert G. Bryant
291,uri,http://www.wikidata.org/entity/Q7345078,,,,en,literal,Robert H. McBride
292,uri,http://www.wikidata.org/entity/Q7345769,,,,en,literal,Robert I. Webb
293,uri,http://www.wikidata.org/entity/Q7346360,,,,en,literal,Robert King
294,uri,http://www.wikidata.org/entity/Q7347094,,,,en,literal,Robert M. Berne
295,uri,http://www.wikidata.org/entity/Q7347168,,,,en,literal,Robert M. O'Neil
296,uri,http://www.wikidata.org/entity/Q7348237,,,,en,literal,Robert P. Scharlemann
297,uri,http://www.wikidata.org/entity/Q7349525,,,,en,literal,Robert S. Wood
298,uri,http://www.wikidata.org/entity/Q7365292,,,,en,literal,Ronald Sokol
299,uri,http://www.wikidata.org/entity/Q7373468,,,,en,literal,Roy Wagner
300,uri,http://www.wikidata.org/entity/Q7411289,,,,en,literal,Samuel E. Bodily
301,uri,http://www.wikidata.org/entity/Q7426853,,,,en,literal,Satwant Pasricha
302,uri,http://www.wikidata.org/entity/Q7427319,,,,en,literal,Saul Levmore
303,uri,http://www.wikidata.org/entity/Q7437343,,,,en,literal,Scott T. Acton
304,uri,http://www.wikidata.org/entity/Q7609232,,,,en,literal,Stephen Francis Barker
305,uri,http://www.wikidata.org/entity/Q7609641,,,,en,literal,Stephen K. White
306,uri,http://www.wikidata.org/entity/Q7610057,,,,en,literal,Stephen Mull
307,uri,http://www.wikidata.org/entity/Q7610721,,,,en,literal,Stephen Tuttle
308,uri,http://www.wikidata.org/entity/Q7615091,,,,en,literal,Steven Nock
309,uri,http://www.wikidata.org/entity/Q7693743,,,,en,literal,Ted Snyder
310,uri,http://www.wikidata.org/entity/Q7702090,,,,en,literal,Teresa A. Sullivan
