,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value
157,uri,http://www.wikidata.org/entity/Q4727143,en,literal,Alison Milbank
158,uri,http://www.wikidata.org/entity/Q4755147,en,literal,Andrea L. Press
159,uri,http://www.wikidata.org/entity/Q4799180,en,literal,Arthur J. Bachrach
160,uri,http://www.wikidata.org/entity/Q4808349,en,literal,Assaf Shelleg
161,uri,http://www.wikidata.org/entity/Q4815991,en,literal,Mary Lou Soffa
162,uri,http://www.wikidata.org/entity/Q4856431,en,literal,Bankole Johnson
163,uri,http://www.wikidata.org/entity/Q4858257,en,literal,Ed Diener
164,uri,http://www.wikidata.org/entity/Q4865662,en,literal,Barton Myers
165,uri,http://www.wikidata.org/entity/Q6396581,en,literal,Kevin J. Sullivan
166,uri,http://www.wikidata.org/entity/Q6396642,en,literal,Kevin K. Lehmann
167,uri,http://www.wikidata.org/entity/Q6437338,en,literal,Krishan Kumar
168,uri,http://www.wikidata.org/entity/Q6456665,en,literal,L. Tucker Jones
169,uri,http://www.wikidata.org/entity/Q6485803,en,literal,Langdon Brown Gilkey
170,uri,http://www.wikidata.org/entity/Q6490695,en,literal,Larry Leon Palmer
171,uri,http://www.wikidata.org/entity/Q21176832,en,literal,Bruce Ryburn Payne
172,uri,http://www.wikidata.org/entity/Q21511979,en,literal,Peter Todd
173,uri,http://www.wikidata.org/entity/Q21518824,en,literal,Ivey Foreman Lewis
174,uri,http://www.wikidata.org/entity/Q21524757,en,literal,Gessner Harrison
175,uri,http://www.wikidata.org/entity/Q21598067,en,literal,Ann J. Lane
176,uri,http://www.wikidata.org/entity/Q21964902,en,literal,Larycia Hawkins
177,uri,http://www.wikidata.org/entity/Q22095662,en,literal,Peter S. Onuf
178,uri,http://www.wikidata.org/entity/Q19569068,en,literal,Olivier Zunz
179,uri,http://www.wikidata.org/entity/Q19661199,en,literal,Ralph O. Allen
180,uri,http://www.wikidata.org/entity/Q19665868,en,literal,Wen-chin Ouyang
181,uri,http://www.wikidata.org/entity/Q19667095,en,literal,Dell Upton
182,uri,http://www.wikidata.org/entity/Q19865091,en,literal,W. A. Lambeth
183,uri,http://www.wikidata.org/entity/Q19880312,en,literal,Jennifer Hoover
184,uri,http://www.wikidata.org/entity/Q19880365,en,literal,A.E. Dick Howard
185,uri,http://www.wikidata.org/entity/Q296423,en,literal,Alfred G. Gilman
186,uri,http://www.wikidata.org/entity/Q305410,en,literal,Shabtai Rosenne
187,uri,http://www.wikidata.org/entity/Q16007374,en,literal,Henry Alexander Davidson
188,uri,http://www.wikidata.org/entity/Q16017884,en,literal,Walter Pilkey
189,uri,http://www.wikidata.org/entity/Q16030377,en,literal,Milton W. Humphreys
190,uri,http://www.wikidata.org/entity/Q16062810,en,literal,Henry Scharf
191,uri,http://www.wikidata.org/entity/Q16095775,en,literal,Michael Menaker
192,uri,http://www.wikidata.org/entity/Q16105071,en,literal,Richard F. Edlich
193,uri,http://www.wikidata.org/entity/Q164311,en,literal,Kevin Granata
194,uri,http://www.wikidata.org/entity/Q167754,en,literal,Hardy Cross Dillard
195,uri,http://www.wikidata.org/entity/Q28112821,en,literal,Kodi Ravichandran
196,uri,http://www.wikidata.org/entity/Q28112853,en,literal,Jerry L. Mashaw
