,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,sports.type,sports.value
217,uri,http://www.wikidata.org/entity/Q256226,en,literal,Max Stiepl,literal,speed skater
218,uri,http://www.wikidata.org/entity/Q256770,en,literal,Ingrid Kristiansen,literal,"cross-country skier, marathon runner, athletics competitor, long-distance runner"
219,uri,http://www.wikidata.org/entity/Q258287,en,literal,Gábor Benedek,literal,modern pentathlete
220,uri,http://www.wikidata.org/entity/Q258545,en,literal,Cao Lei,literal,weightlifter
221,uri,http://www.wikidata.org/entity/Q258556,en,literal,Ene Franca Idoko,literal,"athletics competitor, sprinter"
222,uri,http://www.wikidata.org/entity/Q259452,en,literal,Andrej Golic,literal,handball player
223,uri,http://www.wikidata.org/entity/Q259499,en,literal,Sheena Tosta,literal,athletics competitor
224,uri,http://www.wikidata.org/entity/Q259638,en,literal,Ebba Jungmark,literal,athletics competitor
225,uri,http://www.wikidata.org/entity/Q259744,en,literal,Britta Johansson Norgren,literal,cross-country skier
226,uri,http://www.wikidata.org/entity/Q260061,en,literal,Éva Tófalvi,literal,"biathlete, physical education teacher"
227,uri,http://www.wikidata.org/entity/Q260251,en,literal,Letitia Vriesde,literal,"middle-distance runner, athletics competitor"
228,uri,http://www.wikidata.org/entity/Q260313,en,literal,Domenico Valentino,literal,boxer
229,uri,http://www.wikidata.org/entity/Q260481,en,literal,Cathrine Lindahl,literal,curler
230,uri,http://www.wikidata.org/entity/Q260677,en,literal,Elana Meyer,literal,"marathon runner, long-distance runner"
231,uri,http://www.wikidata.org/entity/Q260805,en,literal,Herma Bauma,literal,"javelin thrower, handball player, athletics competitor"
232,uri,http://www.wikidata.org/entity/Q260861,en,literal,Aleksander Tammert,literal,"track and field coach, athletics competitor"
233,uri,http://www.wikidata.org/entity/Q260978,en,literal,Berhane Adere,literal,"marathon runner, athletics competitor, long-distance runner"
234,uri,http://www.wikidata.org/entity/Q261260,en,literal,Grace Jackson,literal,sprinter
235,uri,http://www.wikidata.org/entity/Q261272,en,literal,Catriona Le May Doan,literal,speed skater
236,uri,http://www.wikidata.org/entity/Q261602,en,literal,Jasna Šekarić,literal,sport shooter
237,uri,http://www.wikidata.org/entity/Q261670,en,literal,Maria Orlova,literal,"skeleton racer, bobsledder"
238,uri,http://www.wikidata.org/entity/Q261693,en,literal,Juanín García,literal,handball player
239,uri,http://www.wikidata.org/entity/Q261969,en,literal,Torri Edwards,literal,"athletics competitor, sprinter"
240,uri,http://www.wikidata.org/entity/Q263032,en,literal,Marit Malm Frafjord,literal,handball player
241,uri,http://www.wikidata.org/entity/Q263086,en,literal,Bertrand Gille,literal,handball player
242,uri,http://www.wikidata.org/entity/Q263914,en,literal,Milica Mandić,literal,taekwondo athlete
243,uri,http://www.wikidata.org/entity/Q264031,en,literal,Chryste Gaines,literal,sprinter
244,uri,http://www.wikidata.org/entity/Q264170,en,literal,Laurine van Riessen,literal,"track cyclist, speed skater"
245,uri,http://www.wikidata.org/entity/Q264217,en,literal,Elena Runggaldier,literal,"ski jumper, student"
246,uri,http://www.wikidata.org/entity/Q264240,en,literal,Ildikó Újlaky-Rejtő,literal,fencer
247,uri,http://www.wikidata.org/entity/Q264354,en,literal,Nuria Fernández,literal,middle-distance runner
248,uri,http://www.wikidata.org/entity/Q264681,en,literal,Camilla Herrem,literal,handball player
249,uri,http://www.wikidata.org/entity/Q264689,en,literal,Noemí Simonetto,literal,"athletics competitor, sprinter"
250,uri,http://www.wikidata.org/entity/Q266186,en,literal,Maurice Manificat,literal,cross-country skier
251,uri,http://www.wikidata.org/entity/Q266307,en,literal,Natalya Shikolenko,literal,"javelin thrower, athletics competitor"
252,uri,http://www.wikidata.org/entity/Q266480,en,literal,Anita Moen,literal,"cross-country skiing coach, cross-country skier"
253,uri,http://www.wikidata.org/entity/Q266506,en,literal,Kea Bouman,literal,"golfer, field hockey player, tennis player"
254,uri,http://www.wikidata.org/entity/Q266954,en,literal,Ren Hui,literal,speed skater
255,uri,http://www.wikidata.org/entity/Q267452,en,literal,Mirjam Ott,literal,curler
256,uri,http://www.wikidata.org/entity/Q267513,en,literal,Andrea Ehrig-Mitscherlich,literal,speed skater
257,uri,http://www.wikidata.org/entity/Q267728,en,literal,Denny Morrison,literal,speed skater
258,uri,http://www.wikidata.org/entity/Q267893,en,literal,Lorraine Fenton,literal,sprinter
259,uri,http://www.wikidata.org/entity/Q269609,en,literal,Wang Chen,literal,table tennis player
260,uri,http://www.wikidata.org/entity/Q269719,en,literal,Yelena Sokolova,literal,long jumper
261,uri,http://www.wikidata.org/entity/Q269752,en,literal,Senja Pusula,literal,cross-country skier
262,uri,http://www.wikidata.org/entity/Q269817,en,literal,Jadwiga Wajs,literal,athletics competitor
263,uri,http://www.wikidata.org/entity/Q270030,en,literal,Tara Whitten,literal,sport cyclist
264,uri,http://www.wikidata.org/entity/Q270056,en,literal,Mirja Lehtonen,literal,cross-country skier
265,uri,http://www.wikidata.org/entity/Q270137,en,literal,Marianne St-Gelais,literal,short track speed skater
266,uri,http://www.wikidata.org/entity/Q270219,en,literal,Anisya Kirdyapkina,literal,"racewalker, athletics competitor"
267,uri,http://www.wikidata.org/entity/Q270221,en,literal,Yuliya Golubchikova,literal,pole vaulter
268,uri,http://www.wikidata.org/entity/Q270400,en,literal,Tatiana Lysenko,literal,artistic gymnast
269,uri,http://www.wikidata.org/entity/Q270501,en,literal,Andreea Grigore,literal,artistic gymnast
270,uri,http://www.wikidata.org/entity/Q270657,en,literal,Anna Meares,literal,sport cyclist
271,uri,http://www.wikidata.org/entity/Q271507,en,literal,Éva Székely,literal,swimmer
