,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,sexgenderLabel.xml:lang,sexgenderLabel.type,sexgenderLabel.value
161,uri,http://www.wikidata.org/entity/Q65752,en,literal,Bastian Steger,en,literal,male
162,uri,http://www.wikidata.org/entity/Q66014,en,literal,Jörg Fiedler,en,literal,male
163,uri,http://www.wikidata.org/entity/Q66947,en,literal,Anne Cibis,en,literal,female
164,uri,http://www.wikidata.org/entity/Q66989,en,literal,Harald Czudaj,en,literal,male
165,uri,http://www.wikidata.org/entity/Q67994,en,literal,Hansjörg Tauscher,en,literal,male
166,uri,http://www.wikidata.org/entity/Q68196,en,literal,Cornelia Pfohl,en,literal,female
167,uri,http://www.wikidata.org/entity/Q70569,en,literal,Inge Helten,en,literal,female
168,uri,http://www.wikidata.org/entity/Q70920,en,literal,Angela Maurer,en,literal,female
169,uri,http://www.wikidata.org/entity/Q71312,en,literal,Josef Fendt,en,literal,male
170,uri,http://www.wikidata.org/entity/Q71893,en,literal,Oskar Deecke,en,literal,male
171,uri,http://www.wikidata.org/entity/Q71979,en,literal,Karl Link,en,literal,male
172,uri,http://www.wikidata.org/entity/Q73271,en,literal,Daniela Reimer,en,literal,female
173,uri,http://www.wikidata.org/entity/Q73946,en,literal,Petra Felke,en,literal,female
174,uri,http://www.wikidata.org/entity/Q77167,en,literal,Julia Görges,en,literal,female
175,uri,http://www.wikidata.org/entity/Q77178,en,literal,Angelique Kerber,en,literal,female
176,uri,http://www.wikidata.org/entity/Q81480,en,literal,Angelika Bahmann,en,literal,female
177,uri,http://www.wikidata.org/entity/Q83007,en,literal,Christine Mailliet,en,literal,female
178,uri,http://www.wikidata.org/entity/Q84985,en,literal,Heinrich Isser,en,literal,male
179,uri,http://www.wikidata.org/entity/Q85030,en,literal,Christian Dünnes,en,literal,male
180,uri,http://www.wikidata.org/entity/Q85478,en,literal,Cornelia Dumler,en,literal,female
181,uri,http://www.wikidata.org/entity/Q85954,en,literal,Bahne Rabe,en,literal,male
182,uri,http://www.wikidata.org/entity/Q86125,en,literal,Anke Kühn,en,literal,female
183,uri,http://www.wikidata.org/entity/Q89626,en,literal,Andy Kapp,en,literal,male
184,uri,http://www.wikidata.org/entity/Q90774,en,literal,Anna Wörner,en,literal,female
185,uri,http://www.wikidata.org/entity/Q91193,en,literal,Lisa Brennauer,en,literal,female
186,uri,http://www.wikidata.org/entity/Q91269,en,literal,Anja Noske,en,literal,female
187,uri,http://www.wikidata.org/entity/Q91305,en,literal,Kraft Schepke,en,literal,male
188,uri,http://www.wikidata.org/entity/Q91314,en,literal,Dieter Arend,en,literal,male
189,uri,http://www.wikidata.org/entity/Q93764,en,literal,Liese Prokop,en,literal,female
190,uri,http://www.wikidata.org/entity/Q95175,en,literal,André Weßels,en,literal,male
191,uri,http://www.wikidata.org/entity/Q95334,en,literal,Christian Blunck,en,literal,male
192,uri,http://www.wikidata.org/entity/Q95612,en,literal,Carolin Golubytskyi,en,literal,female
193,uri,http://www.wikidata.org/entity/Q95653,en,literal,Caroline Masson,en,literal,female
194,uri,http://www.wikidata.org/entity/Q95731,en,literal,Christian Ahlmann,en,literal,male
195,uri,http://www.wikidata.org/entity/Q95882,en,literal,Konrad Wirnhier,en,literal,male
196,uri,http://www.wikidata.org/entity/Q743755,en,literal,Thomas Jefferson,en,literal,male
197,uri,http://www.wikidata.org/entity/Q1384076,en,literal,Jack London,en,literal,male
198,uri,http://www.wikidata.org/entity/Q5803270,en,literal,Hans Herrmann,en,literal,male
199,uri,http://www.wikidata.org/entity/Q11784656,en,literal,Mohamed Zidan,en,literal,male
200,uri,http://www.wikidata.org/entity/Q78622,en,literal,Tina Weirather,en,literal,female
201,uri,http://www.wikidata.org/entity/Q85495,en,literal,Steffi Kräker,en,literal,female
202,uri,http://www.wikidata.org/entity/Q87340,en,literal,Meike Freitag,en,literal,female
203,uri,http://www.wikidata.org/entity/Q88188,en,literal,Toni Seifert,en,literal,male
204,uri,http://www.wikidata.org/entity/Q88637,en,literal,Michael Roth,en,literal,male
205,uri,http://www.wikidata.org/entity/Q89819,en,literal,Wolfgang Steinmayr,en,literal,male
206,uri,http://www.wikidata.org/entity/Q94763,en,literal,Patrick Chan,en,literal,male
207,uri,http://www.wikidata.org/entity/Q99089,en,literal,Anton Kehle,en,literal,male
208,uri,http://www.wikidata.org/entity/Q100074,en,literal,Jessie Diggins,en,literal,female
209,uri,http://www.wikidata.org/entity/Q100215,en,literal,Justus Scharowsky,en,literal,male
210,uri,http://www.wikidata.org/entity/Q100273,en,literal,Sabine Huth,en,literal,female
211,uri,http://www.wikidata.org/entity/Q101403,en,literal,Beate Bühler,en,literal,female
212,uri,http://www.wikidata.org/entity/Q102013,en,literal,Tanja Hart,en,literal,female
213,uri,http://www.wikidata.org/entity/Q103772,en,literal,Jörg Lucke,en,literal,male
214,uri,http://www.wikidata.org/entity/Q106468,en,literal,Josef Ferstl,en,literal,male
215,uri,http://www.wikidata.org/entity/Q107657,en,literal,Peter Berger,en,literal,male
216,uri,http://www.wikidata.org/entity/Q107864,en,literal,Christoph Fildebrandt,en,literal,male
217,uri,http://www.wikidata.org/entity/Q108118,en,literal,Claudia Rath,en,literal,female
218,uri,http://www.wikidata.org/entity/Q109259,en,literal,Horst Effertz,en,literal,male
219,uri,http://www.wikidata.org/entity/Q112995,en,literal,Wolfgang Dessecker,en,literal,male
220,uri,http://www.wikidata.org/entity/Q116631,en,literal,André Bucher,en,literal,male
221,uri,http://www.wikidata.org/entity/Q117228,en,literal,Luigi Pennacchio,en,literal,male
222,uri,http://www.wikidata.org/entity/Q117328,en,literal,Julia Müller,en,literal,female
223,uri,http://www.wikidata.org/entity/Q117632,en,literal,Sina Candrian,en,literal,female
224,uri,http://www.wikidata.org/entity/Q117730,en,literal,Erik Svensson,en,literal,male
225,uri,http://www.wikidata.org/entity/Q117754,en,literal,Detelin Dalakliev,en,literal,male
226,uri,http://www.wikidata.org/entity/Q119951,en,literal,Aivaras Baranauskas,en,literal,male
227,uri,http://www.wikidata.org/entity/Q120479,en,literal,Tarjei Bø,en,literal,male
228,uri,http://www.wikidata.org/entity/Q121188,en,literal,Jana Berezko-Marggrander,en,literal,female
229,uri,http://www.wikidata.org/entity/Q124752,en,literal,Helga Hoffmann,en,literal,female
230,uri,http://www.wikidata.org/entity/Q125707,en,literal,Mujinga Kambundji,en,literal,female
231,uri,http://www.wikidata.org/entity/Q126037,en,literal,Yūki Itō,en,literal,female
232,uri,http://www.wikidata.org/entity/Q126119,en,literal,Michał Jeliński,en,literal,male
233,uri,http://www.wikidata.org/entity/Q128360,en,literal,Eirik Brandsdal,en,literal,male
234,uri,http://www.wikidata.org/entity/Q128517,en,literal,Romain Sassot,en,literal,male
235,uri,http://www.wikidata.org/entity/Q132147,en,literal,Sania Mirza,en,literal,female
236,uri,http://www.wikidata.org/entity/Q132303,en,literal,Robert Lindsay,en,literal,male
237,uri,http://www.wikidata.org/entity/Q132488,en,literal,Florence Baverel-Robert,en,literal,female
238,uri,http://www.wikidata.org/entity/Q138587,en,literal,Herbert Morris,en,literal,male
239,uri,http://www.wikidata.org/entity/Q139616,en,literal,Inārs Kivlenieks,en,literal,male
240,uri,http://www.wikidata.org/entity/Q142045,en,literal,Marco Mariani,en,literal,male
241,uri,http://www.wikidata.org/entity/Q145101,en,literal,Itte Detenamo,en,literal,male
242,uri,http://www.wikidata.org/entity/Q153810,en,literal,Judikje Simons,en,literal,female
243,uri,http://www.wikidata.org/entity/Q155109,en,literal,Giovanna Trillini,en,literal,female
244,uri,http://www.wikidata.org/entity/Q156182,en,literal,Carl Schuhmann,en,literal,male
245,uri,http://www.wikidata.org/entity/Q164041,en,literal,Horst Weigang,en,literal,male
246,uri,http://www.wikidata.org/entity/Q168086,en,literal,Zbigniew Jaremski,en,literal,male
247,uri,http://www.wikidata.org/entity/Q168495,en,literal,Boughera El Ouafi,en,literal,male
248,uri,http://www.wikidata.org/entity/Q169044,en,literal,Zdeněk Pecka,en,literal,male
249,uri,http://www.wikidata.org/entity/Q169266,en,literal,Zdzisław Krzyszkowiak,en,literal,male
250,uri,http://www.wikidata.org/entity/Q171306,en,literal,Shin Joon-sup,en,literal,male
251,uri,http://www.wikidata.org/entity/Q175684,en,literal,Reinhold Pommer,en,literal,male
252,uri,http://www.wikidata.org/entity/Q177457,en,literal,Hu Jia,en,literal,male
253,uri,http://www.wikidata.org/entity/Q178271,en,literal,Volodymyr Duma,en,literal,male
254,uri,http://www.wikidata.org/entity/Q179364,en,literal,Andrei Pavel,en,literal,male
255,uri,http://www.wikidata.org/entity/Q179607,en,literal,Erik Read,en,literal,male
256,uri,http://www.wikidata.org/entity/Q180299,en,literal,Veli Saarinen,en,literal,male
257,uri,http://www.wikidata.org/entity/Q180487,en,literal,Georges Rigal,en,literal,male
258,uri,http://www.wikidata.org/entity/Q180748,en,literal,Mark Spitz,en,literal,male
259,uri,http://www.wikidata.org/entity/Q187488,en,literal,Aaron Cook,en,literal,male
260,uri,http://www.wikidata.org/entity/Q190924,en,literal,Michael Johnson,en,literal,male
261,uri,http://www.wikidata.org/entity/Q192033,en,literal,Zersenay Tadese,en,literal,male
262,uri,http://www.wikidata.org/entity/Q194148,en,literal,Sandro Sambugaro,en,literal,male
