,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,ethnicity.type,ethnicity.value
227,uri,http://www.wikidata.org/entity/Q6182840,en,literal,Jerome McGann,literal,
228,uri,http://www.wikidata.org/entity/Q6196309,en,literal,Jim Lark,literal,
229,uri,http://www.wikidata.org/entity/Q6208090,en,literal,Jody Kraus,literal,
230,uri,http://www.wikidata.org/entity/Q6216361,en,literal,Johanna Drucker,literal,
231,uri,http://www.wikidata.org/entity/Q6220050,en,literal,John B. Minor,literal,
232,uri,http://www.wikidata.org/entity/Q6222461,en,literal,John Bonvillian,literal,
233,uri,http://www.wikidata.org/entity/Q6224880,en,literal,John Calvin Jeffries,literal,
234,uri,http://www.wikidata.org/entity/Q6227181,en,literal,John Corrigan,literal,
235,uri,http://www.wikidata.org/entity/Q6245060,en,literal,John Lloyd Newcomb,literal,
236,uri,http://www.wikidata.org/entity/Q6246525,en,literal,John Mallet,literal,
237,uri,http://www.wikidata.org/entity/Q6259942,en,literal,John T. Casteen III,literal,
238,uri,http://www.wikidata.org/entity/Q6260309,en,literal,John Tayloe Lomax,literal,
239,uri,http://www.wikidata.org/entity/Q6263713,en,literal,John Wheeler-Bennett,literal,
240,uri,http://www.wikidata.org/entity/Q6281898,en,literal,Joseph C. Miller,literal,
241,uri,http://www.wikidata.org/entity/Q6283130,en,literal,Joseph Fletcher,literal,
242,uri,http://www.wikidata.org/entity/Q6286311,en,literal,Joseph Poon,literal,
243,uri,http://www.wikidata.org/entity/Q6304491,en,literal,Judy Jordan,literal,
244,uri,http://www.wikidata.org/entity/Q6390311,en,literal,Kenneth Kellermann,literal,
245,uri,http://www.wikidata.org/entity/Q6390619,en,literal,Kenneth R. Mladenka,literal,
246,uri,http://www.wikidata.org/entity/Q6390790,en,literal,Kenneth W. Thompson,literal,
247,uri,http://www.wikidata.org/entity/Q6396581,en,literal,Kevin J. Sullivan,literal,
248,uri,http://www.wikidata.org/entity/Q6396642,en,literal,Kevin K. Lehmann,literal,
249,uri,http://www.wikidata.org/entity/Q6437338,en,literal,Krishan Kumar,literal,
250,uri,http://www.wikidata.org/entity/Q6456665,en,literal,L. Tucker Jones,literal,
251,uri,http://www.wikidata.org/entity/Q6485803,en,literal,Langdon Brown Gilkey,literal,
252,uri,http://www.wikidata.org/entity/Q6491061,en,literal,Larry Sabato,literal,
253,uri,http://www.wikidata.org/entity/Q6520710,en,literal,Leland B. Yeager,literal,
254,uri,http://www.wikidata.org/entity/Q6523655,en,literal,Leo Damrosch,literal,
255,uri,http://www.wikidata.org/entity/Q6548081,en,literal,Lillian BeVier,literal,
256,uri,http://www.wikidata.org/entity/Q6558381,en,literal,Lisa Russ Spaar,literal,
257,uri,http://www.wikidata.org/entity/Q6680396,en,literal,Loren Lomasky,literal,
258,uri,http://www.wikidata.org/entity/Q6757078,en,literal,Marcia A. Invernizzi,literal,
259,uri,http://www.wikidata.org/entity/Q6773495,en,literal,Marshall Brement,literal,
260,uri,http://www.wikidata.org/entity/Q6780075,en,literal,Mary Lee Settle,literal,
261,uri,http://www.wikidata.org/entity/Q6790361,en,literal,Matthew Crawford,literal,
