,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,sexgenderLabel.xml:lang,sexgenderLabel.type,sexgenderLabel.value,conditions.type,conditions.value
5394,uri,http://www.wikidata.org/entity/Q379893,en,literal,Fikre Selassie Wogderess,en,literal,male,literal,type-1 diabetes
5395,uri,http://www.wikidata.org/entity/Q426687,en,literal,Brad Wilk,en,literal,male,literal,type-1 diabetes
5396,uri,http://www.wikidata.org/entity/Q448950,en,literal,Devin K. Grayson,en,literal,female,literal,type-1 diabetes
5397,uri,http://www.wikidata.org/entity/Q455947,en,literal,Dana Hill,en,literal,female,literal,type-1 diabetes
5398,uri,http://www.wikidata.org/entity/Q461575,en,literal,Amelia Lily,en,literal,female,literal,type-1 diabetes
5399,uri,http://www.wikidata.org/entity/Q536007,en,literal,Buster Douglas,en,literal,male,literal,type-1 diabetes
5400,uri,http://www.wikidata.org/entity/Q536199,en,literal,Angelo Moreschi,en,literal,male,literal,type-1 diabetes
5401,uri,http://www.wikidata.org/entity/Q551322,en,literal,Dorian Gregory,en,literal,male,literal,type-1 diabetes
5402,uri,http://www.wikidata.org/entity/Q659402,en,literal,Leonard Thompson,en,literal,male,literal,type-1 diabetes
5403,uri,http://www.wikidata.org/entity/Q708963,en,literal,Allan Sherman,en,literal,male,literal,type-1 diabetes
5404,uri,http://www.wikidata.org/entity/Q57781480,en,literal,Cesar Sayoc Jr.,en,literal,male,literal,"anxiety, learning disability, paranoia"
5405,uri,http://www.wikidata.org/entity/Q105038390,en,literal,John Junior,en,literal,non-binary,literal,"anxiety, obsessive-compulsive disorder, borderline personality disorder, Klinefelter's syndrome, clubfoot"
5406,uri,http://www.wikidata.org/entity/Q317790,en,literal,Abdullah the Butcher,en,literal,male,literal,hepatitis C
5407,uri,http://www.wikidata.org/entity/Q529384,en,literal,Bob Orton Jr.,en,literal,male,literal,hepatitis C
5408,uri,http://www.wikidata.org/entity/Q2058802,en,literal,Paul Barrere,en,literal,male,literal,hepatitis C
5409,uri,http://www.wikidata.org/entity/Q5267750,en,literal,Devon Nicholson,en,literal,male,literal,hepatitis C
5410,uri,http://www.wikidata.org/entity/Q5751738,en,literal,Carlos Sanz Hernández,en,literal,male,literal,"hepatitis C, liver transplantation"
5411,uri,http://www.wikidata.org/entity/Q7509488,en,literal,Sidra Sadaf,en,literal,female,literal,hepatitis C
5412,uri,http://www.wikidata.org/entity/Q20090438,en,literal,Tamara Ching,en,literal,transgender female,literal,"hepatitis C, diabetes"
5413,uri,http://www.wikidata.org/entity/Q360,en,literal,Julian Assange,en,literal,male,literal,Asperger syndrome
5414,uri,http://www.wikidata.org/entity/Q49264,en,literal,Lisa Nowak,en,literal,female,literal,"Asperger syndrome, obsessive-compulsive personality disorder"
5415,uri,http://www.wikidata.org/entity/Q65932,en,literal,Anthony Hopkins,en,literal,male,literal,Asperger syndrome
5416,uri,http://www.wikidata.org/entity/Q105221,en,literal,Dan Aykroyd,en,literal,male,literal,"Asperger syndrome, syndactyly"
5417,uri,http://www.wikidata.org/entity/Q234621,en,literal,Susanna Tamaro,en,literal,female,literal,Asperger syndrome
5418,uri,http://www.wikidata.org/entity/Q237197,en,literal,Ladyhawke,en,literal,female,literal,Asperger syndrome
5419,uri,http://www.wikidata.org/entity/Q259888,en,literal,Kage Baker,en,literal,female,literal,"Asperger syndrome, strabismus"
5420,uri,http://www.wikidata.org/entity/Q274355,en,literal,Natsumi Tsuji,en,literal,female,literal,Asperger syndrome
5421,uri,http://www.wikidata.org/entity/Q302573,en,literal,Raymond Thompson,en,literal,male,literal,Asperger syndrome
5422,uri,http://www.wikidata.org/entity/Q317521,en,literal,Elon Musk,en,literal,male,literal,"Asperger syndrome, Plasmodium falciparum malaria, COVID-19"
5423,uri,http://www.wikidata.org/entity/Q318489,en,literal,Bram Cohen,en,literal,male,literal,Asperger syndrome
5424,uri,http://www.wikidata.org/entity/Q336640,en,literal,David Byrne,en,literal,male,literal,Asperger syndrome
5425,uri,http://www.wikidata.org/entity/Q352098,en,literal,Example,en,literal,male,literal,"Asperger syndrome, obsessive-compulsive disorder, attention deficit hyperactivity disorder"
5426,uri,http://www.wikidata.org/entity/Q373385,en,literal,Adrian Lamo,en,literal,male,literal,Asperger syndrome
5427,uri,http://www.wikidata.org/entity/Q498389,en,literal,Paddy Considine,en,literal,male,literal,"Asperger syndrome, scotopic sensitivity syndrome"
5428,uri,http://www.wikidata.org/entity/Q522720,en,literal,Gunilla Gerland,en,literal,female,literal,Asperger syndrome
5429,uri,http://www.wikidata.org/entity/Q532013,en,literal,Craig Nicholls,en,literal,male,literal,Asperger syndrome
5430,uri,http://www.wikidata.org/entity/Q597433,en,literal,Peter Tork,en,literal,male,literal,"Asperger syndrome, adenoid cystic carcinoma"
5431,uri,http://www.wikidata.org/entity/Q718277,en,literal,Aleksander Vinter,en,literal,male,literal,"Asperger syndrome, attention deficit hyperactivity disorder, savant syndrome"
5432,uri,http://www.wikidata.org/entity/Q734221,en,literal,Barry Humphries,en,literal,male,literal,Asperger syndrome
5433,uri,http://www.wikidata.org/entity/Q948093,en,literal,Juice Leskinen,en,literal,male,literal,Asperger syndrome
5434,uri,http://www.wikidata.org/entity/Q1144884,en,literal,Adam Lanza,en,literal,male,literal,"Asperger syndrome, obsessive-compulsive disorder, sensory processing disorder"
5435,uri,http://www.wikidata.org/entity/Q2706935,en,literal,Maxwell Atoms,en,literal,male,literal,Asperger syndrome
5436,uri,http://www.wikidata.org/entity/Q2978709,en,literal,Clay Marzo,en,literal,male,literal,Asperger syndrome
5437,uri,http://www.wikidata.org/entity/Q3161044,en,literal,James Durbin,en,literal,male,literal,"Asperger syndrome, Tourette syndrome"
5438,uri,http://www.wikidata.org/entity/Q3184054,en,literal,Josef Schovanec,en,literal,male,literal,Asperger syndrome
5439,uri,http://www.wikidata.org/entity/Q3499771,en,literal,Gro Dahle,en,literal,female,literal,Asperger syndrome
5440,uri,http://www.wikidata.org/entity/Q4717675,en,literal,Alex Reid,en,literal,male,literal,Asperger syndrome
5441,uri,http://www.wikidata.org/entity/Q4768433,en,literal,Anne Hegerty,en,literal,female,literal,Asperger syndrome
5442,uri,http://www.wikidata.org/entity/Q4940493,en,literal,Gunilla Brattberg,en,literal,female,literal,Asperger syndrome
5443,uri,http://www.wikidata.org/entity/Q4983088,en,literal,Kishti Tomita,en,literal,female,literal,Asperger syndrome
5444,uri,http://www.wikidata.org/entity/Q5107671,en,literal,Chris Packham,en,literal,male,literal,Asperger syndrome
5445,uri,http://www.wikidata.org/entity/Q5222946,en,literal,Darius McCollum,en,literal,male,literal,Asperger syndrome
5446,uri,http://www.wikidata.org/entity/Q5495614,en,literal,Flint Juventino Beppe,en,literal,male,literal,"Asperger syndrome, attention deficit hyperactivity disorder, Tourette syndrome"
5447,uri,http://www.wikidata.org/entity/Q5698939,en,literal,Heidi Mortenson,en,literal,female,literal,Asperger syndrome
5448,uri,http://www.wikidata.org/entity/Q5962400,en,literal,Oliver Loftéen,en,literal,male,literal,Asperger syndrome
5449,uri,http://www.wikidata.org/entity/Q6187054,en,literal,Jessica-Jane Applegate,en,literal,female,literal,Asperger syndrome
5450,uri,http://www.wikidata.org/entity/Q6231539,en,literal,John Elder Robison,en,literal,male,literal,Asperger syndrome
5451,uri,http://www.wikidata.org/entity/Q6660762,en,literal,Lee Clark,en,literal,non-binary,literal,"Asperger syndrome, polycystic ovary syndrome, anxiety disorder"
5452,uri,http://www.wikidata.org/entity/Q6702059,en,literal,Luke Jackson,en,literal,male,literal,"Asperger syndrome, developmental coordination disorder"
5453,uri,http://www.wikidata.org/entity/Q6776265,en,literal,Martin Newell,en,literal,male,literal,"Asperger syndrome, developmental coordination disorder"
5454,uri,http://www.wikidata.org/entity/Q7650920,en,literal,Suzanne Muldowney,en,literal,female,literal,Asperger syndrome
5455,uri,http://www.wikidata.org/entity/Q16197325,en,literal,Tom Angleberger,en,literal,male,literal,Asperger syndrome
5456,uri,http://www.wikidata.org/entity/Q16997413,en,literal,Lindsay Mason,en,literal,male,literal,Asperger syndrome
5457,uri,http://www.wikidata.org/entity/Q17388622,en,literal,Richard Oland,en,literal,male,literal,Asperger syndrome
5458,uri,http://www.wikidata.org/entity/Q19710583,en,literal,Paula Tilli,en,literal,female,literal,Asperger syndrome
5459,uri,http://www.wikidata.org/entity/Q19832459,en,literal,Mew2King,en,literal,male,literal,"Asperger syndrome, obsessive-compulsive disorder, attention deficit hyperactivity disorder"
5460,uri,http://www.wikidata.org/entity/Q20090453,en,literal,Chuck Tingle,en,literal,male,literal,"Asperger syndrome, savant syndrome"
5461,uri,http://www.wikidata.org/entity/Q20744665,en,literal,Alis Rowe,en,literal,female,literal,Asperger syndrome
5462,uri,http://www.wikidata.org/entity/Q21005382,en,literal,T. Rafael Cimino,en,literal,male,literal,Asperger syndrome
5463,uri,http://www.wikidata.org/entity/Q22087172,en,literal,Tom Hayes,en,literal,male,literal,Asperger syndrome
5464,uri,http://www.wikidata.org/entity/Q22097959,en,literal,Nicholas Hine,en,literal,male,literal,Asperger syndrome
5465,uri,http://www.wikidata.org/entity/Q23759581,en,literal,Rosie King,en,literal,female,literal,Asperger syndrome
5466,uri,http://www.wikidata.org/entity/Q23782666,en,literal,Alix Generous,en,literal,female,literal,Asperger syndrome
5467,uri,http://www.wikidata.org/entity/Q25714017,en,literal,Slushii,en,literal,male,literal,Asperger syndrome
5468,uri,http://www.wikidata.org/entity/Q27999692,en,literal,A. R. Morlan,en,literal,female,literal,Asperger syndrome
5469,uri,http://www.wikidata.org/entity/Q28125363,en,literal,Joakim Lundell,en,literal,male,literal,"Asperger syndrome, attention deficit hyperactivity disorder"
5470,uri,http://www.wikidata.org/entity/Q28595319,en,literal,Kellen Goff,en,literal,male,literal,Asperger syndrome
5471,uri,http://www.wikidata.org/entity/Q56434717,en,literal,Greta Thunberg,en,literal,female,literal,"Asperger syndrome, obsessive-compulsive disorder, selective mutism"
5472,uri,http://www.wikidata.org/entity/Q61986925,en,literal,Anders Pemer,en,literal,male,literal,Asperger syndrome
5473,uri,http://www.wikidata.org/entity/Q63938093,en,literal,Kyle Hill,en,literal,male,literal,Asperger syndrome
5474,uri,http://www.wikidata.org/entity/Q64010026,en,literal,Nina Marker,en,literal,female,literal,Asperger syndrome
5475,uri,http://www.wikidata.org/entity/Q67087201,en,literal,Audrey Noir,en,literal,female,literal,Asperger syndrome
5476,uri,http://www.wikidata.org/entity/Q67452008,en,literal,Tom Stoltman,en,literal,male,literal,"Asperger syndrome, autism spectrum disorder"
5477,uri,http://www.wikidata.org/entity/Q4831145,en,literal,Ayelet Waldman,en,literal,female,literal,bipolar disorder
5478,uri,http://www.wikidata.org/entity/Q4863399,en,literal,Barret Robbins,en,literal,male,literal,bipolar disorder
5479,uri,http://www.wikidata.org/entity/Q4895385,en,literal,Bert Yancey,en,literal,male,literal,bipolar disorder
5480,uri,http://www.wikidata.org/entity/Q4909910,en,literal,Bill Lichtenstein,en,literal,male,literal,bipolar disorder
5481,uri,http://www.wikidata.org/entity/Q4954795,en,literal,Emily Horne,en,literal,female,literal,bipolar disorder
5482,uri,http://www.wikidata.org/entity/Q4977134,en,literal,Bruce Beaver,en,literal,male,literal,bipolar disorder
5483,uri,http://www.wikidata.org/entity/Q5005994,en,literal,C.B. Forgotston,en,literal,male,literal,bipolar disorder
5484,uri,http://www.wikidata.org/entity/Q5043618,en,literal,Carmen Weber,en,literal,female,literal,bipolar disorder
5485,uri,http://www.wikidata.org/entity/Q5081135,en,literal,Charles Mount,en,literal,male,literal,bipolar disorder
5486,uri,http://www.wikidata.org/entity/Q5107049,en,literal,Chris Joseph,en,literal,male,literal,bipolar disorder
